age,sex,education,income,emp_exp,loan_amnt,loan_int_rate,loan_percent_income,cb_person_cred_hist_length,credit_score,previous_loan_defaults_on_file,home_ownership_MORTGAGE,home_ownership_OTHER,home_ownership_OWN,home_ownership_RENT,loan_intent_DEBTCONSOLIDATION,loan_intent_EDUCATION,loan_intent_HOMEIMPROVEMENT,loan_intent_MEDICAL,loan_intent_PERSONAL,loan_intent_VENTURE,loan_status
25.0,0,1,102975.0,0,20000.0,11.01,0.19,2.0,663,0,0,0,0,1,0,0,1,0,0,0,0
28.0,1,2,44338.0,6,4000.0,6.91,0.09,8.0,597,1,1,0,0,0,0,0,0,1,0,0,0
26.0,1,1,164467.0,7,12000.0,14.72,0.07,2.0,687,1,0,0,0,1,0,0,0,0,1,0,0
31.0,0,0,80335.0,12,10000.0,11.01,0.12,5.0,642,1,1,0,0,0,0,0,0,0,1,0,0
27.0,0,0,61340.0,4,7500.0,11.59,0.12,6.0,649,1,1,0,0,0,0,0,0,0,1,0,0
38.0,1,0,42168.0,14,12000.0,11.01,0.28,12.0,596,0,0,0,1,0,0,0,0,1,0,0,0
23.0,1,2,66110.0,0,15550.0,11.71,0.24,4.0,691,1,0,0,0,1,1,0,0,0,0,0,0
27.0,1,3,68774.0,3,12000.0,7.07,0.17,6.0,663,0,1,0,0,0,0,1,0,0,0,0,0
32.0,1,2,116057.0,12,20000.0,14.42,0.17,9.0,736,1,0,0,0,1,0,0,0,0,1,0,0
26.0,1,1,75626.0,4,10000.0,13.43,0.13,2.0,530,1,1,0,0,0,0,0,0,0,0,1,0
28.0,1,2,49280.0,4,10000.0,10.26,0.2,6.0,640,0,1,0,0,0,1,0,0,0,0,0,0
37.0,1,0,68765.0,13,10000.0,11.01,0.15,13.0,645,0,1,0,0,0,0,1,0,0,0,0,0
34.0,0,2,99814.0,11,5000.0,9.24,0.05,9.0,671,1,1,0,0,0,0,0,0,0,1,0,0
35.0,0,1,131309.0,13,16000.0,6.99,0.12,5.0,698,0,1,0,0,0,1,0,0,0,0,0,0
29.0,0,2,70426.0,6,10000.0,6.99,0.14,5.0,679,1,0,0,0,1,0,0,0,0,1,0,0
22.0,0,2,96934.0,0,5000.0,12.37,0.05,3.0,578,1,1,0,0,0,0,0,0,0,0,1,0
36.0,1,0,87369.0,13,13000.0,11.01,0.15,13.0,671,0,1,0,0,0,0,0,1,0,0,0,0
36.0,1,2,66931.0,15,10000.0,13.47,0.15,13.0,625,0,0,0,0,1,0,0,0,1,0,0,0
25.0,1,2,108777.0,0,8000.0,6.4,0.07,3.0,589,1,1,0,0,0,0,1,0,0,0,0,0
23.0,1,1,24766.0,0,5000.0,11.71,0.2,4.0,649,0,0,0,1,0,0,0,0,0,1,0,0
23.0,0,3,68270.0,2,8400.0,10.99,0.12,2.0,657,1,0,0,0,1,1,0,0,0,0,0,0
27.0,1,1,58140.0,6,15000.0,13.79,0.26,9.0,677,1,1,0,0,0,0,0,1,0,0,0,0
33.0,0,2,118595.0,10,25000.0,11.83,0.21,10.0,691,0,1,0,0,0,0,0,0,0,0,1,0
35.0,1,2,133139.0,13,15000.0,11.11,0.11,8.0,632,1,0,0,0,1,0,0,0,1,0,0,0
26.0,0,3,32334.0,5,12000.0,11.01,0.37,3.0,622,1,1,0,0,0,0,0,1,0,0,0,0
27.0,1,1,44340.0,4,1050.0,14.72,0.02,5.0,655,1,0,0,1,0,0,0,0,1,0,0,0
30.0,0,2,61097.0,7,1875.0,8.0,0.03,9.0,629,1,1,0,0,0,1,0,0,0,0,0,0
28.0,0,1,43108.0,5,6000.0,11.89,0.14,10.0,582,1,0,0,0,1,0,1,0,0,0,0,0
23.0,1,3,114867.0,0,10000.0,6.34,0.09,4.0,608,1,1,0,0,0,0,0,0,0,1,0,0
25.0,1,2,63093.0,4,6000.0,11.01,0.1,4.0,632,1,0,0,1,0,0,0,0,0,0,1,0
24.0,1,2,44764.0,2,2500.0,10.37,0.06,3.0,660,0,1,0,0,0,0,0,0,0,0,1,0
32.0,0,1,48757.0,8,6000.0,12.69,0.12,8.0,679,1,0,0,0,1,0,0,0,1,0,0,0
28.0,1,2,58669.0,5,10000.0,6.92,0.17,8.0,583,1,1,0,0,0,0,1,0,0,0,0,0
29.0,1,0,265023.0,6,8500.0,10.37,0.03,5.0,610,1,1,0,0,0,1,0,0,0,0,0,0
26.0,1,2,69127.0,1,6594.0,10.77,0.1,5.0,669,0,1,0,0,0,0,0,0,0,0,1,0
23.0,1,2,66807.0,0,8000.0,10.6,0.12,3.0,626,0,1,0,0,0,0,1,0,0,0,0,0
27.0,0,2,57474.0,6,5000.0,10.36,0.09,7.0,538,1,0,0,0,1,0,0,0,1,0,0,0
24.0,1,2,51445.0,0,8000.0,9.25,0.16,3.0,667,1,0,0,0,1,0,0,0,0,0,1,0
25.0,0,2,88619.0,0,9000.0,11.86,0.1,4.0,651,0,1,0,0,0,1,0,0,0,0,0,0
21.0,1,1,75542.0,0,6500.0,11.01,0.09,4.0,521,1,0,0,0,1,0,0,0,1,0,0,0
26.0,1,0,144944.0,2,25000.0,10.86,0.17,3.0,594,1,1,0,0,0,0,1,0,0,0,0,0
25.0,1,1,94842.0,4,16000.0,7.88,0.17,2.0,648,0,1,0,0,0,1,0,0,0,0,0,0
28.0,1,1,29822.0,5,3000.0,8.58,0.1,6.0,602,1,0,0,0,1,0,0,0,0,0,1,0
31.0,0,3,65406.0,10,3537.0,7.89,0.05,6.0,683,0,1,0,0,0,0,0,0,0,1,0,0
22.0,1,3,70317.0,1,4000.0,11.01,0.06,2.0,640,1,1,0,0,0,1,0,0,0,0,0,0
23.0,0,0,39168.0,0,3600.0,9.63,0.09,3.0,468,1,0,0,0,1,0,0,0,0,1,0,0
21.0,0,1,118511.0,0,10000.0,6.62,0.08,2.0,535,0,1,0,0,0,1,0,0,0,0,0,0
21.0,0,2,49004.0,0,10000.0,11.01,0.2,2.0,606,1,0,0,0,1,0,1,0,0,0,0,0
51.0,0,1,97221.0,32,18000.0,18.78,0.19,19.0,648,0,0,0,0,1,0,0,0,0,0,1,0
29.0,0,2,120471.0,3,6000.0,6.92,0.05,7.0,633,0,1,0,0,0,0,0,0,0,0,1,0
25.0,0,0,55949.0,0,5000.0,11.01,0.09,2.0,573,1,0,0,0,1,1,0,0,0,0,0,0
35.0,0,3,115264.0,16,12000.0,14.84,0.1,9.0,653,1,1,0,0,0,0,0,0,0,1,0,0
24.0,1,0,62912.0,0,18000.0,8.14,0.29,5.0,557,1,1,0,0,0,1,0,0,0,0,0,0
30.0,0,0,124134.0,7,25000.0,12.19,0.2,8.0,588,1,1,0,0,0,0,0,0,0,1,0,0
23.0,1,1,70365.0,1,8000.0,7.49,0.11,3.0,636,1,0,0,0,1,0,1,0,0,0,0,0
24.0,0,1,43094.0,0,3600.0,9.99,0.08,4.0,667,1,0,0,1,0,0,0,0,0,0,1,0
30.0,1,2,51400.0,6,11000.0,10.44,0.21,10.0,514,1,0,0,0,1,0,0,0,0,1,0,0
23.0,1,2,90980.0,2,12000.0,7.51,0.13,3.0,684,1,1,0,0,0,0,0,0,0,0,1,0
24.0,1,1,52996.0,1,10000.0,5.79,0.19,2.0,688,0,0,0,0,1,0,1,0,0,0,0,0
29.0,1,2,116341.0,6,12670.0,14.36,0.11,8.0,677,1,1,0,0,0,0,1,0,0,0,0,0
36.0,1,1,30771.0,12,11500.0,7.29,0.37,12.0,691,0,1,0,0,0,0,0,0,1,0,0,0
23.0,0,3,94912.0,2,6150.0,7.88,0.06,2.0,595,1,1,0,0,0,0,1,0,0,0,0,0
27.0,1,2,192824.0,1,10000.0,16.32,0.05,9.0,675,0,0,0,0,1,0,1,0,0,0,0,0
44.0,0,2,70337.0,26,7000.0,7.4,0.1,11.0,664,1,0,0,0,1,0,0,0,0,1,0,0
24.0,1,0,33962.0,2,7500.0,6.71,0.22,6.0,603,1,0,0,0,1,0,1,0,0,0,0,0
42.0,1,2,51605.0,18,9600.0,13.23,0.19,15.0,623,0,0,0,0,1,0,0,0,0,0,1,0
24.0,0,0,84932.0,2,10000.0,11.01,0.12,4.0,680,0,0,0,0,1,0,0,0,0,0,1,0
23.0,1,2,56837.0,3,2650.0,10.59,0.05,2.0,704,1,0,0,0,1,0,0,0,0,1,0,0
24.0,0,0,132898.0,1,10000.0,15.62,0.08,4.0,675,0,1,0,0,0,0,0,0,0,1,0,0
28.0,0,1,90739.0,4,16000.0,6.17,0.18,6.0,548,1,1,0,0,0,0,0,1,0,0,0,0
26.0,1,1,132597.0,0,12000.0,11.01,0.09,2.0,650,1,0,0,0,1,0,0,0,0,0,1,0
27.0,0,1,46682.0,2,4000.0,8.08,0.09,9.0,686,0,1,0,0,0,0,0,0,1,0,0,0
22.0,0,2,29678.0,0,5000.0,12.21,0.17,3.0,589,1,0,0,1,0,0,0,0,1,0,0,0
28.0,0,0,94139.0,6,12000.0,10.99,0.13,10.0,596,1,1,0,0,0,0,0,0,1,0,0,0
25.0,1,2,80921.0,0,4000.0,12.18,0.05,2.0,581,1,1,0,0,0,0,1,0,0,0,0,0
35.0,1,2,68142.0,13,10000.0,11.34,0.15,5.0,560,1,1,0,0,0,0,0,0,0,1,0,0
37.0,1,2,36833.0,11,4000.0,11.89,0.11,17.0,696,0,0,0,0,1,0,0,0,1,0,0,0
25.0,0,2,80206.0,1,7000.0,11.26,0.09,3.0,638,1,1,0,0,0,1,0,0,0,0,0,0
29.0,0,1,145111.0,2,6250.0,12.53,0.04,9.0,507,1,1,0,0,0,1,0,0,0,0,0,0
30.0,1,0,211010.0,7,15000.0,11.22,0.07,8.0,532,1,1,0,0,0,0,0,1,0,0,0,0
24.0,1,2,90926.0,0,5000.0,6.76,0.05,4.0,650,0,1,0,0,0,0,1,0,0,0,0,0
46.0,1,2,73002.0,24,15000.0,16.32,0.21,13.0,627,1,0,0,0,1,0,0,0,0,0,1,0
23.0,1,0,74217.0,0,2078.0,7.7,0.03,4.0,603,0,1,0,0,0,0,0,0,1,0,0,0
23.0,1,2,60813.0,0,6400.0,6.91,0.11,2.0,606,0,0,0,0,1,0,0,0,0,0,1,0
23.0,0,3,77101.0,0,6000.0,13.22,0.08,4.0,591,1,0,0,0,1,1,0,0,0,0,0,0
32.0,0,2,85182.0,9,6000.0,5.42,0.07,6.0,699,1,1,0,0,0,0,0,0,0,1,0,0
22.0,1,0,87578.0,1,16000.0,10.37,0.18,2.0,557,1,0,0,1,0,0,1,0,0,0,0,0
22.0,1,0,42826.0,0,3600.0,11.8,0.08,3.0,659,0,1,0,0,0,0,0,0,0,0,1,0
28.0,0,3,45599.0,9,6400.0,12.02,0.14,6.0,681,0,0,0,0,1,0,0,0,0,1,0,0
27.0,0,0,136165.0,3,10400.0,15.62,0.08,6.0,574,1,1,0,0,0,0,0,1,0,0,0,0
32.0,1,2,44314.0,8,4800.0,11.86,0.11,12.0,554,1,0,0,0,1,0,0,0,0,0,1,0
24.0,1,0,271342.0,0,6000.0,11.01,0.02,4.0,508,1,0,0,0,1,0,0,0,1,0,0,0
31.0,0,3,105303.0,7,15000.0,13.11,0.14,8.0,647,1,0,0,1,0,0,0,1,0,0,0,0
35.0,0,1,68310.0,7,12000.0,11.01,0.18,8.0,672,0,1,0,0,0,1,0,0,0,0,0,0
23.0,0,0,91120.0,4,15000.0,11.01,0.16,3.0,673,1,0,0,0,1,0,0,0,1,0,0,0
23.0,1,2,90929.0,0,7600.0,8.59,0.08,4.0,605,1,0,0,1,0,0,0,0,0,0,1,0
25.0,1,0,72748.0,3,10000.0,10.84,0.14,4.0,604,0,1,0,0,0,1,0,0,0,0,0,0
28.0,0,2,140940.0,5,21194.0,12.46,0.15,5.0,634,0,1,0,0,0,0,0,1,0,0,0,0
23.0,0,1,72885.0,1,7200.0,10.11,0.1,4.0,663,0,1,0,0,0,0,0,0,0,0,1,0
25.0,0,1,63214.0,1,8389.0,12.67,0.13,7.0,630,1,1,0,0,0,0,0,0,0,0,1,0
21.0,1,0,39551.0,0,6000.0,5.42,0.15,4.0,650,0,0,0,0,1,1,0,0,0,0,0,0
35.0,1,0,73172.0,15,19600.0,9.91,0.27,5.0,659,1,1,0,0,0,0,1,0,0,0,0,0
24.0,1,2,59933.0,0,20000.0,15.57,0.33,4.0,680,0,1,0,0,0,0,0,0,0,0,1,0
25.0,0,0,45065.0,0,5983.0,10.12,0.13,4.0,619,1,0,0,0,1,0,1,0,0,0,0,0
31.0,1,1,107464.0,3,1409.0,11.01,0.01,10.0,601,1,0,0,0,1,0,1,0,0,0,0,0
29.0,0,0,127134.0,6,25133.0,11.0,0.2,9.0,662,1,1,0,0,0,0,1,0,0,0,0,0
24.0,0,3,55086.0,0,3000.0,7.49,0.05,4.0,615,1,0,0,0,1,0,0,0,1,0,0,0
35.0,1,2,145045.0,12,8934.0,11.82,0.06,7.0,666,1,1,0,0,0,0,0,0,1,0,0,0
33.0,1,1,93356.0,9,17507.0,11.52,0.19,11.0,664,1,0,0,0,1,0,0,0,1,0,0,0
25.0,0,0,116281.0,3,12000.0,10.36,0.1,4.0,584,1,1,0,0,0,1,0,0,0,0,0,0
73.0,0,2,51415.0,47,5000.0,7.49,0.1,28.0,706,0,1,0,0,0,0,0,0,0,1,0,0
35.0,1,3,52844.0,14,6000.0,9.41,0.11,7.0,609,1,0,0,0,1,0,0,0,0,0,1,0
25.0,1,2,84706.0,0,10000.0,8.95,0.12,3.0,574,1,0,0,0,1,0,0,0,1,0,0,0
33.0,0,3,36150.0,11,1978.0,8.36,0.05,9.0,611,1,0,0,1,0,0,1,0,0,0,0,0
29.0,1,2,102606.0,5,10000.0,7.88,0.1,5.0,674,1,1,0,0,0,0,0,0,0,1,0,0
28.0,0,0,37314.0,8,2000.0,12.42,0.05,6.0,645,0,0,0,0,1,0,0,0,0,1,0,0
24.0,1,2,53793.0,4,4000.0,11.01,0.07,3.0,633,1,1,0,0,0,0,0,0,1,0,0,0
22.0,1,2,31115.0,0,2400.0,14.27,0.08,2.0,636,1,0,0,1,0,0,0,0,1,0,0,0
26.0,1,0,47385.0,7,7647.0,9.76,0.16,6.0,651,1,0,0,0,1,0,0,0,1,0,0,0
24.0,1,3,72682.0,2,12982.0,8.0,0.18,3.0,677,1,1,0,0,0,0,0,0,1,0,0,0
23.0,0,1,24407.0,0,2000.0,10.59,0.08,4.0,535,1,0,0,0,1,0,1,0,0,0,0,0
24.0,1,0,110003.0,1,10000.0,16.24,0.09,4.0,522,1,0,0,0,1,0,0,0,0,1,0,0
26.0,1,3,71588.0,5,3500.0,10.99,0.05,2.0,663,0,1,0,0,0,0,1,0,0,0,0,0
23.0,0,1,66711.0,4,10000.0,10.99,0.15,4.0,655,1,1,0,0,0,0,1,0,0,0,0,0
22.0,1,2,54850.0,0,5400.0,7.29,0.1,2.0,552,1,0,0,0,1,0,1,0,0,0,0,0
30.0,1,2,40631.0,9,3000.0,11.49,0.07,7.0,660,1,0,0,0,1,0,0,0,1,0,0,0
25.0,0,0,368261.0,2,24250.0,13.85,0.07,4.0,558,1,0,0,0,1,0,0,0,0,1,0,0
30.0,1,1,145326.0,4,7200.0,9.99,0.05,9.0,641,0,1,0,0,0,1,0,0,0,0,0,0
31.0,0,3,82529.0,8,13595.0,8.13,0.16,5.0,676,1,0,0,0,1,1,0,0,0,0,0,0
28.0,1,2,57329.0,9,5000.0,11.01,0.09,7.0,516,1,1,0,0,0,0,0,0,0,0,1,0
24.0,0,1,84279.0,1,10000.0,7.66,0.12,4.0,616,1,1,0,0,0,0,0,0,0,0,1,0
29.0,1,1,73877.0,6,12000.0,6.38,0.16,8.0,654,1,0,0,0,1,0,0,0,0,0,1,0
27.0,1,2,66713.0,3,16400.0,13.98,0.25,9.0,632,1,0,0,1,0,0,0,0,0,1,0,0
26.0,1,0,66917.0,0,3775.0,11.71,0.06,3.0,621,1,1,0,0,0,0,0,0,0,1,0,0
29.0,0,3,91273.0,8,8000.0,11.99,0.09,5.0,590,1,1,0,0,0,0,0,0,0,1,0,0
22.0,0,2,66919.0,0,6000.0,14.27,0.09,3.0,500,1,0,0,0,1,0,1,0,0,0,0,0
39.0,1,4,87227.0,16,15000.0,11.86,0.17,15.0,665,0,1,0,0,0,1,0,0,0,0,0,0
25.0,1,2,89673.0,4,16000.0,10.41,0.18,3.0,673,1,0,0,0,1,0,0,0,0,1,0,0
23.0,1,1,66837.0,0,8000.0,7.49,0.12,4.0,629,1,1,0,0,0,0,1,0,0,0,0,0
28.0,1,1,60856.0,1,4800.0,10.37,0.08,10.0,647,1,0,0,0,1,0,0,0,0,1,0,0
29.0,0,0,39514.0,7,8000.0,5.99,0.2,6.0,669,0,1,0,0,0,0,0,0,0,1,0,0
22.0,0,0,49746.0,0,12000.0,14.27,0.24,3.0,652,1,0,0,0,1,1,0,0,0,0,0,0
26.0,1,0,64536.0,2,12800.0,5.42,0.2,4.0,514,1,0,0,0,1,0,0,1,0,0,0,0
36.0,1,1,75669.0,16,12000.0,16.89,0.16,14.0,725,0,1,0,0,0,0,0,0,0,1,0,0
31.0,1,2,100780.0,10,7500.0,11.01,0.07,6.0,715,1,1,0,0,0,0,0,0,1,0,0,0
31.0,1,2,76238.0,9,15000.0,11.76,0.2,8.0,653,1,1,0,0,0,0,0,0,1,0,0,0
29.0,1,1,72783.0,7,1500.0,12.87,0.02,9.0,621,1,0,0,0,1,0,1,0,0,0,0,0
26.0,0,0,78931.0,2,4023.0,6.7,0.05,2.0,635,1,0,0,0,1,0,0,0,0,1,0,0
28.0,0,2,116071.0,5,4108.0,11.0,0.04,6.0,727,0,1,0,0,0,0,0,0,0,0,1,0
30.0,0,2,95660.0,8,20000.0,13.72,0.21,10.0,678,1,1,0,0,0,1,0,0,0,0,0,0
28.0,0,1,25526.0,5,3945.0,12.19,0.15,6.0,662,0,0,0,0,1,1,0,0,0,0,0,0
27.0,0,2,109172.0,3,20500.0,14.96,0.19,8.0,661,1,1,0,0,0,0,0,0,0,0,1,0
24.0,1,2,222674.0,0,3000.0,7.88,0.01,2.0,566,1,1,0,0,0,0,0,0,1,0,0,0
23.0,1,0,145027.0,1,13000.0,11.71,0.09,4.0,617,0,0,0,0,1,0,0,0,0,1,0,0
21.0,1,2,62215.0,0,6000.0,7.88,0.1,2.0,593,1,1,0,0,0,0,0,0,0,1,0,0
24.0,0,2,193174.0,0,12000.0,16.77,0.06,4.0,547,0,1,0,0,0,0,0,0,0,0,1,0
27.0,1,3,229251.0,7,22000.0,6.91,0.1,8.0,635,1,0,0,0,1,0,0,0,0,0,1,0
34.0,0,3,54741.0,13,3000.0,11.11,0.05,7.0,681,1,0,0,0,1,0,0,0,1,0,0,0
24.0,1,1,51495.0,0,12000.0,6.99,0.23,3.0,580,1,1,0,0,0,0,0,1,0,0,0,0
34.0,0,1,79270.0,12,10000.0,11.36,0.13,7.0,699,1,1,0,0,0,0,0,0,0,1,0,0
26.0,1,0,114222.0,6,13481.0,10.19,0.12,3.0,637,0,1,0,0,0,0,0,0,0,0,1,0
24.0,0,3,132998.0,0,20000.0,11.16,0.15,3.0,621,1,1,0,0,0,0,1,0,0,0,0,0
27.0,0,0,116332.0,7,17317.0,11.31,0.15,6.0,637,0,0,0,0,1,0,0,0,0,1,0,0
27.0,1,1,90950.0,6,15000.0,14.35,0.16,5.0,589,1,0,0,0,1,1,0,0,0,0,0,0
25.0,1,3,102960.0,5,9600.0,13.85,0.09,4.0,713,1,1,0,0,0,0,0,1,0,0,0,0
33.0,1,2,64917.0,12,10000.0,15.96,0.15,9.0,556,1,0,0,0,1,0,1,0,0,0,0,0
28.0,1,3,181313.0,4,15000.0,11.89,0.08,9.0,629,1,1,0,0,0,0,0,1,0,0,0,0
35.0,0,3,60859.0,12,7000.0,11.49,0.12,9.0,668,1,0,0,0,1,1,0,0,0,0,0,0
23.0,1,0,54845.0,0,6000.0,8.65,0.11,4.0,574,1,0,0,0,1,0,0,0,1,0,0,0
28.0,1,3,144878.0,5,14400.0,10.74,0.1,7.0,686,1,1,0,0,0,0,0,0,1,0,0,0
26.0,0,2,104358.0,2,20000.0,10.01,0.19,4.0,652,1,1,0,0,0,0,0,0,0,1,0,0
24.0,0,2,52801.0,5,5000.0,12.47,0.09,4.0,684,1,0,0,0,1,0,1,0,0,0,0,0
36.0,0,0,87020.0,13,3500.0,6.99,0.04,13.0,649,1,1,0,0,0,0,0,0,1,0,0,0
24.0,0,0,102719.0,2,16000.0,11.99,0.16,3.0,631,1,0,0,0,1,0,0,0,0,0,1,0
26.0,0,0,163585.0,4,5129.0,6.93,0.03,6.0,650,1,1,0,0,0,0,0,0,0,1,0,0
30.0,0,1,27354.0,6,6000.0,11.89,0.22,8.0,655,1,0,0,1,0,0,0,0,0,0,1,0
28.0,1,0,54832.0,6,7316.0,7.44,0.13,9.0,662,1,1,0,0,0,1,0,0,0,0,0,0
22.0,0,3,79125.0,0,8429.0,11.96,0.11,4.0,594,1,1,0,0,0,0,1,0,0,0,0,0
33.0,1,1,54540.0,11,9600.0,8.5,0.18,5.0,636,1,0,0,0,1,0,1,0,0,0,0,0
21.0,0,1,46416.0,1,14000.0,11.12,0.3,3.0,587,1,0,0,1,0,0,1,0,0,0,0,0
49.0,0,4,35836.0,26,6979.0,7.83,0.19,19.0,730,1,0,0,0,1,0,0,0,0,1,0,0
25.0,0,0,67014.0,2,6400.0,10.71,0.1,3.0,670,1,0,0,0,1,0,1,0,0,0,0,0
23.0,1,1,49173.0,0,13004.0,7.35,0.26,4.0,627,0,1,0,0,0,0,0,0,0,0,1,0
36.0,1,2,173413.0,14,7575.0,15.04,0.04,16.0,722,0,1,0,0,0,0,0,0,1,0,0,0
35.0,0,2,52574.0,13,6150.0,9.07,0.12,12.0,688,0,0,0,0,1,0,0,0,1,0,0,0
27.0,0,2,84934.0,6,12000.0,10.49,0.14,9.0,622,0,1,0,0,0,0,0,0,0,0,1,0
40.0,1,1,84680.0,18,6000.0,12.53,0.07,11.0,599,0,0,1,0,0,0,0,1,0,0,0,0
26.0,1,0,89371.0,2,1200.0,13.22,0.01,4.0,577,0,1,0,0,0,0,0,1,0,0,0,0
43.0,1,3,43972.0,20,10000.0,8.94,0.23,11.0,713,1,0,0,0,1,0,0,0,1,0,0,0
23.0,1,2,49050.0,2,2500.0,12.88,0.05,3.0,535,1,0,0,0,1,0,0,1,0,0,0,0
24.0,0,2,41722.0,2,2500.0,7.4,0.06,3.0,667,1,1,0,0,0,0,0,0,0,1,0,0
30.0,1,2,139090.0,5,20000.0,12.68,0.14,7.0,666,1,1,0,0,0,0,1,0,0,0,0,0
41.0,0,0,97361.0,18,14481.0,9.87,0.15,9.0,628,1,1,0,0,0,0,0,1,0,0,0,0
30.0,0,2,85162.0,7,10000.0,16.89,0.12,5.0,621,1,1,0,0,0,0,0,1,0,0,0,0
27.0,0,3,45521.0,5,5775.0,14.91,0.13,7.0,595,0,0,0,0,1,0,0,0,0,1,0,0
22.0,0,1,36970.0,0,4100.0,14.26,0.11,3.0,568,1,0,0,0,1,0,1,0,0,0,0,0
29.0,0,4,46509.0,3,1500.0,12.26,0.03,8.0,611,1,0,0,0,1,0,0,0,1,0,0,0
26.0,0,2,76936.0,3,8000.0,12.53,0.1,2.0,648,0,0,0,0,1,0,0,0,0,0,1,0
24.0,1,2,74663.0,4,12250.0,12.23,0.16,4.0,675,0,0,0,0,1,0,0,0,0,0,1,0
22.0,1,1,91366.0,0,9000.0,10.99,0.1,4.0,596,0,0,0,0,1,1,0,0,0,0,0,0
24.0,1,3,18083.0,0,1200.0,7.29,0.07,4.0,566,1,0,0,0,1,0,0,0,1,0,0,0
24.0,1,1,26109.0,5,7508.0,12.66,0.29,3.0,613,0,0,0,1,0,0,1,0,0,0,0,0
26.0,0,2,70666.0,5,10500.0,11.48,0.15,2.0,693,1,0,0,0,1,0,0,0,0,1,0,0
35.0,1,0,113956.0,10,15000.0,9.88,0.13,10.0,648,1,1,0,0,0,0,0,0,0,0,1,0
